product,rating,rating count,price,product url
Women's Waterproof Ski Snow Jacket Winter Warm Hooded Snow Coat Mountain Windproof Ski Jacket For Women…  ,4.5 out of 5 stars,13  ,69.99,https://amazon.com/Womens-Waterproof-Jacket-Mountain-Windproof/dp/B0B67LZ59Q/ref=sr_1_47?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-47
Columbia Women's Benton Springs Full Zip  ,4.7 out of 5 stars,"49,099  ",34.25,https://amazon.com/Columbia-Womens-Benton-Springs-Classic/dp/B003NX8CPQ/ref=sr_1_48?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-48
Men's Faux Leather Jacket Motorcycle Jacket Waterproof Windproof PU Moto Outerwear Vintage Bomber Hoodie with Removable Hood  ,4.5 out of 5 stars,961  ,69.97,https://amazon.com/Leather-Jacket-Vintage-Motorcycle-Winter/dp/B08JKNZYYJ/ref=sr_1_49?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-49
"ZEFOTIM Winter Jackets For Women,Womens Winter Long Sleeve Pockets Coat,Womens Winter Thicken Puffer Fluffy Coat  ",4.4 out of 5 stars,50  ,9.99,https://amazon.com/Jackets-Oversized-Flannel-Sweatshirts-Outerwear/dp/B0BBRH6H2Y/ref=sr_1_50?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-50
Columbia Men's Steens Mountain 2.0 Full Zip Fleece Jacket  ,4.7 out of 5 stars,"34,614  ",41.99,https://amazon.com/Columbia-Steens-Mountain-Fleece-Classic/dp/B0084AWSW6/ref=sr_1_51?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-51
ELLSWOS Men's Waterproof Ski Jacket Winter Snow Coat Warm Hooded Raincoat Windproof Windbreakers  ,4.0 out of 5 stars,1  ,43.99,https://amazon.com/ELLSWOS-Waterproof-Windproof-Windbreakers-Blue/dp/B0BB5W5BM6/ref=sr_1_52?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-52
Columbia Women's Copper Crest Hooded Jacket  ,4.7 out of 5 stars,"1,942  ",86.7,https://amazon.com/Columbia-Womens-Copper-Hooded-Jacket/dp/B07K7L8SFJ/ref=sr_1_53?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-53
Arctix Boys Ronan Insulated Winter Jacket  ,4.6 out of 5 stars,739  ,38.6,https://amazon.com/Arctix-Insulated-Winter-Jacket-Vintage/dp/B082YLWT96/ref=sr_1_54?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-54
Amazon Essentials Girls and Toddlers' Heavy-Weight Hooded Puffer Jackets  ,4.8 out of 5 stars,"3,834  ",33.6,https://amazon.com/Amazon-Essentials-Heavy-Weight-Raspberry-X-Small/dp/B07PWY9PYH/ref=sr_1_55?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-55
Carhartt Men's Yukon Extremes Loose Fit Insulated Active Jacket  ,4.7 out of 5 stars,880  ,169.99,https://amazon.com/Carhartt-Extremes-Insulated-Active-X-Large/dp/B08KFG1J14/ref=sr_1_56?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-56
